id,name,college,requirements
2,Actuarial Science,L&S,[]
3,Anthropology,L&S,[]
4,Applied Mathematics,L&S,[]
5,Aquatic Biology,L&S,[]
6,Art,L&S,[]
7,Asian American Studies,L&S,[]
8,Asian Studies,L&S,[]
9,Biochemistry,L&S,[]
10,Biological Sciences,L&S,[]
11,Biopsychology,L&S,[]
12,Black Studies,L&S,[]
13,Chemistry,L&S,[]
14,Chicano & Chicana Studies,L&S,[]
15,Chinese,L&S,[]
16,Classics,L&S,[]
17,Communication,L&S,[]
18,Comparative Literature,L&S,[]
19,Dance,L&S,[]
20,Earth Science,L&S,[]
21,Ecology & Evolution,L&S,[]
22,Economics,L&S,[]
23,Economics & Accounting,L&S,[]
24,English,L&S,[]
25,Environmental Studies,L&S,[]
26,Feminist Studies,L&S,[]
27,Film & Media Studies,L&S,[]
28,Financial Mathematics & Statistics,L&S,[]
29,French,L&S,[]
30,Geography,L&S,[]
31,German,L&S,[]
32,Global Studies,L&S,[]
33,History,L&S,[]
34,History of Art & Architecture,L&S,[]
35,History of Public Policy & Law,L&S,[]
36,Hydrologic Sciences & Policy,L&S,[]
37,Italian Studies,L&S,[]
38,Japanese,L&S,[]
39,"Language, Culture & Society",L&S,[]
40,Latin American & Iberian Studies,L&S,[]
41,Linguistics,L&S,[]
42,Mathematics,L&S,[]
43,Medieval Studies,L&S,[]
44,Middle East Studies,L&S,[]
45,Molecular & Cellular Biology,L&S,[]
46,Music Studies,L&S,[]
47,Philosophy,L&S,[]
48,Physics,L&S,[]
49,Physiology,L&S,[]
50,Political Science,L&S,[]
51,Portuguese,L&S,[]
52,Psychological & Brain Sciences,L&S,[]
53,Religious Studies,L&S,[]
54,Russian & East European Studies,L&S,[]
55,Sociology,L&S,[]
56,Spanish,L&S,[]
57,Statistics & Data Science,L&S,[]
58,Theater,L&S,[]
59,Zoology,L&S,[]
60,Chemical Engineering,CoE,[]
61,Computer Engineering,CoE,[]
62,Electrical Engineering,CoE,[]
63,Mechanical Engineering,CoE,[]
64,Art,CCS,[]
65,Biology,CCS,[]
66,Chemistry and Biochemistry,CCS,[]
67,Computing,CCS,[]
68,Marine Science,CCS,[]
69,Mathematics,CCS,[]
70,Music Composition,CCS,[]
71,Physics,CCS,[]
72,Writing and Literature,CCS,[]